Comments	Good/Bad	Search Term	Hard Sort TF Ranking	Ranking	Score	Company Name	URL	Description	Profile Views	Mosaic Overall	Last Funding Date	News Article Count	Total Funding	Number of Fundings	Number of Deals	Number of Investors	Noun Phrases
More up and coming companies clients should care about	good	beauty	2	35	9.600144	Memebox	memebox.com	Memebox offers curated boxes, Korean beauty products, and collaborations with digital beauty stars. Memebox provides a way to discover and shop for Korean beauty skincare and makeup.	581	690	2019-01-24	77	192.2100067	11	11	27	
More up and coming companies clients should care about	good	beauty	3	23	15.581313	Glossier	glossier.com	Glossier is a direct-to-consumer beauty company that leverages content and community to power a superior shopping experience. Its skincare, makeup, body, and fragrance products are sold in the United States, Canada, and the United Kingdom directly through its website and New York City showroom.	1491	850	2019-03-19	63	187.3999939	5	6	14	
More up and coming companies clients should care about	good	beauty	4	24	15.581304	BeautyCounter	beautycounter.com	BeautyCounter develops and sells skin care, body and hair products, and cosmetics that are safe for consumers. The company's products are carefully formulated with high safety standards excluding harmful ingredients linked to cancer, hormone disruption, reproductive toxicity, skin irritation, cumulative exposure risk and other hazards.	380	780	2018-01-04	45	106.8899994	5	6	3	
More up and coming companies clients should care about	good	beauty	5	63	9.591155	Ipsy	ipsy.com	Ipsy, formerly MyGlam, operates a monthly subscription service that sends users a monthly Glam Bag with deluxe samples and full-sized beauty products.	629	640	2015-12-03	64	103.4300003	5	5	4	
More up and coming companies clients should care about	good	beauty	6	64	9.590461	Nykaa	nykaa.com	Nykaa is a beauty e-commerce portal that sells branded products across wide categories of makeup, skincare, hair care, fragrances, bath & body and luxury products for women and men. The portal runs on an inventory-based model and has a warehouse in Mumbai. It has also established strong partnerships with courier companies to offer shipping across India.	218	690	2019-03-31	105	65.97000122	10	11	9	
More up and coming companies clients should care about	good	beauty	7	29	9.603832	Sociolla	sociolla.com	Sociolla is a cosmetics and beauty e-commerce site. Visitors can shop by brand or by department, under the categories of makeup, skincare, haircare, nails, bath and body, accessories, fragrances, and gifts.	97	800	2019-08-09	8	52	4	4	8	
More up and coming companies clients should care about	good	beauty	8	56	9.592872	StyleSeat	styleseat.com	StyleSeat is the online destination for beauty & wellness professionals and clients. Professionals can showcase their work, connect with new and existing clients, and build their business. Clients can discover new services and providers, book appointments online, and get inspired.	481	570	2018-04-05	46	40.66999817	6	7	24	
More up and coming companies clients should care about	good	beauty	9	55	9.592872	Purplle	purplle.com	Purplle is an e-commerce platform that offers products pertaining to skin care, make-up, hair care, body care and beauty appliances. Additionally, the company lists salons and spas in cities including Delhi, Mumbai and Gurgaon along with their contact numbers, addresses, reviews and offers.	91	810	2019-12-12	38	39.09999847	6	6	11	
More up and coming companies clients should care about	good	beauty	10	74	9.586241	Kopari Beauty	koparibeauty.com	Kopari Beauty is a beauty product brand offering a wide variety of products made from 100% organic coconut oil.	160		2019-07-16	4	38.15000153	4	4	8	
More up and coming companies clients should care about	good	beauty	11	80	9.585339	Juice Beauty	juicebeauty.com	Juice Beauty provides clinically validated yet authentically organic beauty solutions created by a team passionate about healthy lifestyles and whose organic products are backed by powerful science. Juice Beauty offers (InStyle, ELLE, Allure, EWG awards) antioxidant-rich and clinically proven skincare, makeup and hair care products that meet the most stringent organic regulations in North America supported by solid eco-values that include purchasing locally from West Coast certified organic farmers and manufacturing strictly in the U.S.A. with solar power, utilizing recycled containers and printing with soy ink. Juice Beauty also gives a percentage of profits to five chosen charities every month.	175		2014-08-01	5	30.47999954	3	3	1	
More up and coming companies clients should care about	good	beauty	12	47	9.594833	VIOLET GREY	violetgrey.com	VIOLET GREY operates The Violet Files and The Shelves. The Violet Files is a digital magazine dedicated to documenting Hollywood beauty culture in collaboration with celebrated storytellers in fashion and film. From exclusive cover stories on film industry luminaries to beauty tutorials by the industry's leading experts and artists, VIOLET GREY and its discerning network of contributors, stands to offer a compelling glimpse into Hollywood beauty through the written word and a modern, editorial lens. The Shelves is an evolving curation of beauty products deemed necessary by those who know beauty best- Hollywood's leading artists, experts, and specialists. From the thousands upon thousands of beauty products available today VIOLET GREY and its community of artists have adhered to The Violet Code (a set of exacting standards for each product to be held accountable by) and rigorously tested, vetted, and authenticated an exclusive and highly edited selection of beauty-Hollywood's hero products.	139	560	2018-03-30	24	30.22999954	7	7	6	
More up and coming companies clients should care about	good	beauty	13	60	9.591455	GoLong	golong.cn	GoLong is a supplier of overseas beauty product in China.	12		2019-11-05	2	29.27000046	2	3	4	
More up and coming companies clients should care about	good	beauty	14	73	9.587107	IL MAKIAGE	ilmakiage.com	IL MAKIAGE is a prestige professional makeup brand. It operates boutiques that employ professional makeup artists and offer a unique, one-on-one consultative approach to provide highly personalized guidance and precise product matching. In addition to its boutiques, the company operates a network of makeup artist academies furthering its commitment to educating and training the beauty professionals of tomorrow.	13		2017-06-06	35	29	1	3	1	
More up and coming companies clients should care about	good	beauty	15	38	9.59801	GlamSquad	glamsquad.com	GlamSquad is an app-based beauty provider delivering professional and affordable beauty services to the home or office. The team of experienced hair stylists and make-up artists are hand-picked and expertly trained undergoing extensive proprietary training and character-assessment techniques to guarantee consistent, high-quality results and a positive stylist experience with every appointment. With personalized, one-on-one consultations and a signature range of inspirational looks, GlamSquad offers clients the full celebrity-experience, helping them look and feel their best.	499	610	2017-03-13	68	27.5	4	5	6	
More up and coming companies clients should care about	good	beauty	16	67	9.589939	PhiSkin	phiskin.com	PhiSkin (芙艾医美) offers minimally invasive treatments that include injection of aesthetic products, laser treatment, double eyelid surgery and other non-surgical beauty treatments.	11		2018-08-20	6	26	3	3	4	
More up and coming companies clients should care about	good	beauty	17	51	9.593859	MyGlamm	myglamm.com	MyGlamm provides a marketplace for stylists, beauticians, and nail and spa aestheticians to provide on demand hair, beauty, nail and spa services at a consumer's doorstep.	116	810	2019-06-27	17	25.81999969	4	4	5	
	good	insurance tech	1	87	0.21206553	Lemonade	lemonade.com	Lemonade is a licensed insurance carrier offering homeowners and renters insurance powered by artificial intelligence and behavioral economics.	4311	870	2019-04-11	100	480	7	7	13	
	good	insurance tech	2	51	0.3291948	Next Insurance	next-insurance.com	Next Insurance provides an online insurance marketplace for small businesses, allowing for a process that's online, transparent, fast and complete. Next Insurance offers general liability, professional liability, workers' compensation and other types of insurance policies for small businesses.	1490	850	2019-10-07	55	381	5	5	10	
	good	insurance tech	4	3	9	Digit Insurance	godigit.com	Digit Insurance, formerly known as Oben General Insurance, is a tech-driven insurance startup based in Bengaluru, India. The company seeks to build simple and transparent solutions, focusing on car, travel, mobile, jewelry, and bicycle insurance. The company is a subsidiary of Go Digit Infoworks.	213		2018-07-25	14	105	2	2	1	
	good	insurance tech	7	67	0.29320687	Snapsheet	snapsheetclaims.com	Snapsheet develops a cloud-based technology platform that facilitates customer engagement and intelligent workflows. Snapsheet builds software to adapt to workflows, operational needs and systems environments.	1119	750	2019-05-17	67	78.84999847	10	10	17	
	good	insurance tech	9	75	0.264312	simplesurance	simplesurance.com	simplesurance is an eCommerce provider for product insurances, enabling customers to buy products online and purchase corresponding insurance coverage at the checkout. The company's solutions enable cross-selling of product insurances directly at the point of sale in eCommerce, and integrates into the checkout process of online shops to offer a one-click experience for customers.	854	640	2018-10-02	15	69.30000305	8	8	13	
	good	insurance tech	10	28	0.419573	Ladder	ladderlife.com	Ladder is a digital life insurance provider.	1469	690	2018-05-15	10	66.05000305	4	4	9	
	good	insurance tech	13	74	0.264312	Clearcover	clearcover.com	Clearcover's API-first approach enables customers to have great insurance at affordable rates.	470	680	2019-01-22	24	57	5	5	8	
	good	insurance tech	14	79	0.2302727	Coverfox	coverfox.com	Coverfox provides a smarter way for people to buy and manage their insurance. It offers products online for Indian customers across categories like Health, Car, Life, Travel, and Home Insurance, featuring top insurance brands in India.	570	730	2019-07-24	88	49.49000168	8	8	7	
	good	insurance tech	18	85	0.2207944	Weather Analytics	weatheranalytics.com	Weather Analytics delivers global climate intelligence by providing statistically stable, gap-free data formed by an extensive collection of historical, current and forecasted weather content, coupled with proprietary analytics and methodologies. Weather Analytics finds, assembles, cleans and formats weather data from around the world and delivers information that is directly accessible in an online database for decision support. Weather Analytics uses the aggregated data to create with proprietary analytics more than 580 weather variables for enhanced weather intelligence and risk mitigation that is delivered in user-friendly formats - allowing customers to focus efforts on solving business problems versus aggregating and cleansing data from raw sources. Weather Analytics provides this weather information for each of more than 700,000 locations, which covers the entire globe. The collection ranges from 33 years of historical climate data, to on-demand current conditions, to hourly seven-day forecasts.	328	490	2017-12-11	27	36.29000092	6	8	4	
Not insurance	bad	insurance tech	3	92	0.20400059	Fabric	getfabric.com	Fabric is building on-demand supply-chains that enable sustainable, 1-hour delivery to online customers. Its Micro-Fulfillment-Center is an urban, automated fulfillment solution that combines the benefits of local distribution with the economics of automated fulfillment. By utilizing a novel approach to this last-mile challenge, combined with robotics and AI, Fabric allows its clients to offer true on-demand services, dramatically reduce their operational costs, and benefit from superior operational scalability.	571	720	2019-10-23	20	136	4	4	8	
Not insurance	bad	insurance tech	5	96	0.20400059	Claroty	claroty.com	Claroty aims to secure and optimize the industrial control networks. The company's platform provides visibility into a range of ICS, SCADA and other control system devices, protocols and networks using passive monitoring techniques to examine and analyze OT networks. The system provides monitoring and anomaly detection; employing models and algorithms to alert customers to both cybersecurity and process integrity issues.	498	750	2018-12-12	65	92	3	3	14	
Not insurance	bad	insurance tech	6	59	0.3148938	Airobotics	airoboticsdrones.com	Airobotics provides an end-to-end, automatic solution for collecting aerial data. Airobotics' end-to-end automated drone platform is purpose-built to simplify drone operations. Airobotics' robotic airbase, multi-sensor drone, and AI-driven analytics automate the digitization of sites and cities through high-frequency data collection, processing, visualization and analysis.	436		2018-10-30	84	91.01999664	5	5	9	
	good	conversational AI	1	62	9	SoundHound	soundhound.com	SoundHound is a provider of voice-enabled AI and conversational intelligence technologies. Its consumer product, Hound, leverages Speech-to-Meaning and Deep Meaning Understanding technologies to enhance the smartphone experience, enabling people to discover, explore, and share music, and even find a song by singing or humming. SoundHound is built upon its Houndify platform, which enables developers and business owners to deploy anywhere and provides speech recognition, natural language understanding, easy to use developer tools, knowledge graphs, and domains. Its architecture for collaborative intelligence, called Collective AI, facilitates collaboration among developers in a conversational intelligence environment, and enables developers to extend the functionality of existing knowledge domains without needing access to or a full understanding of the underlying libraries. This results in a global AI with comprehensive knowledge that is always learning, is crowdsourced to domain experts, and is larger than the sum of its parts.	none	none	none	none	none	none	none	none	
	good	conversational AI	6	67	0.443972	Ojo Labs	ojolabsnews.com	OJO is an AI tool that allows consumers to ask questions at any stage of their home search process. The AI assistant, like Alexa or Siri, aims to solve two problems: consumers not asking their real estate agent questions, and consumers who feel like when they do ask questions early on in the process, their agent tries to sell them on properties.	none	none	none	none	none	none	none	none	
	good	conversational AI	7	68	0.9410992	Uniphore Software Systems	uniphore.com	Uniphore harnesses the power of voice and data technologies to transform any mobile device, irrespective of its feature set, into a service delivery platform. The company designs and delivers mobility service applications that connect businesses with their customers and employees in real time. Uniphore's solutions integrate speech recognition and voice biometrics with smart mobile technology to deliver an efficient, end-to-end solution on the cloud.	none	none	none	none	none	none	none	none	
In CS	need to add	conversational AI	Missing from Results	Missing from Results	Missing from Results	Conversica											
In CS	need to add	conversational AI	Missing from Results	Missing from Results	Missing from Results	Automat.ai											
In CS	need to add	conversational AI	Missing from Results	Missing from Results	Missing from Results	PolyAI											
	good	vaping	1	63	1.163553	JUUL Labs	juul.com	JUUL Labs was founded to provide smokers worldwide with an alternative to cigarettes that enables them to permanently switch. The company sells nicotine vaporizer designed for adult smokers.	1112	880	2019-08-19	309	14346.67969	9	10	9	
	good	vaping	2	87	0.99745834	Euro Garages	eurogarages.com	Euro Garages is one of the UK's largest privately-owned forecourt operators. Euro Garages has strategic brand partnerships with BP, ESSO, Shell, SPAR, Starbucks, Subway, Greggs and Burger King. The company currently operate 48 Starbucks with 61 Subway stores across its estate with plans to open 100 each, respectively by the end of 2015.	31		2015-10-21	21	2000	1	8	1	
	good	vaping	3	82	1.0464324	PAX	paxvapor.com	PAX provides internet-connected vaporizers that allow users to track potency of consumed cannabis.	402	760	2019-04-22	72	544.9299927	6	7	9	
	good	smart home	1	65	9	Vivint Smart Home	vivint.com	Vivint Smart Home provides smart home services in North America. Vivint delivers an integrated smart home system with in-home consultation, professional installation and support delivered by its Smart Home Pros, as well as 24-7 customer care and monitoring. Dedicated to redefining the home experience with intelligent products and services, Vivint serves more than one million customers throughout the U.S. and Canada.	996	740	2019-12-19		1597.26001	8	13	11	
	good	smart home	2	41	9.439465	Hippo	myhippo.com	Hippo offers intuitive and proactive home insurance by using data, like municipal building records, and technology, such as satellite imagery and smart home devices, to streamline the quoting and on-boarding experience, for such products as protection for possessions like appliances, consumer electronics and home offices.	1190	730	2019-07-24	8	209	5	6	28	
	good	smart home	3	37	9.469589	Rokid	rokid.com	Rokid is an artificial intelligence (AI) and robotics company. Rokid is a smart home device featuring advanced AI and deep learning that enriches a consumer's life by delivering information on-demand and performing tasks via voice and visual interactions. The company is based in Hangzhou, China, with research centers in Beijing and San Francisco.	521	750	2018-01-18	30	158.3000031	4	4	9	
	good	smart home	6	61	9.24557	Porch	porch.com	Porch is a home network that is free for homeowners and home professionals. Porch enables homeowners to make smart home improvement decisions by giving them the information they need to find the right professionals, get inspiration, and manage their home. The Porch App, an app available for iOS, gives homeowners direct access to a personal Porch Concierge to help find professionals for users' homes.	790	580	2019-01-25	108	100.5299988	7	12	13	
	good	smart home	17	21	9.538184	Wyze	wyzecam.com	Wyze develops smart home products. Its first product is a smart home camera that stays connected and offers 1080p full HD, night vision, and two-way audio.	74	810	2019-01-04	30	20	2	2	2	
	good	smart home	10	6	9.564762	SmartRent	smartrent.com	Smartrent builds smart home software and hardware for the real estate and property management community. SmartRent's platform gives property managers full control of locks, lights and thermostats in vacant units and common areas while providing a best-in-class smart home experience for residents.	115	680	2019-10-02	27	38.5	4	4	7	
	good	smart home	11	53	9.339699	Kneron	kneron.com	Kneron is an edge AI solution provider dedicated to the design and development of integrated software and hardware on-device AI solutions for smart home, smart surveillance, smartphones, robots, drones, and IoT devices. Their products include the KL520, a dedicated edge AI device processor, neural processing units (NPU) and a range of AI software algorithms. Kneron’s mission is to enable and empower edge AI to be everywhere.	160	660	2018-05-31	30	33	2	2	9	
	good	insurtech	1	89	0.9467508	Lemonade	lemonade.com	Lemonade is a licensed insurance carrier offering homeowners and renters insurance powered by artificial intelligence and behavioral economics.	4311	870	2019-04-11	100	480	7	7	13	
	good	insurtech	2	92	0.93678826	Trov	trov.com	Trōv powers digital insurance solutions for businesses in the finance, insurance, mobility, and retail sectors, enabling the new ways people live, work and move.	1879	680	2017-04-06	183	98.80000305	6	6	8	
	good	insurtech	3	87	0.95129615	simplesurance	simplesurance.com	simplesurance is an eCommerce provider for product insurances, enabling customers to buy products online and purchase corresponding insurance coverage at the checkout. The company's solutions enable cross-selling of product insurances directly at the point of sale in eCommerce, and integrates into the checkout process of online shops to offer a one-click experience for customers.	854	640	2018-10-02	15	69.30000305	8	8	13	
	good	insurtech	13	80	0.98205674	Zesty.ai	zesty.ai	Zesty.ai is an Artificial Intelligence (AI) enabled building analytics platform for the property insurance industry. It leverages more than 115Bn data points on 140 million US homes and their residents. Using advancements in computer vision and deep learning, zesty.ai extracts building characteristics, such as roof geometry or distance to inflammable vegetation, among other features, with unprecedented accuracy. zesty.ai analyzes satellite, aerial, Light Detection And Ranging (LiDAR) imagery and other proprietary data on millions of dwellings and combines those with demographic and psychographic data on policy-holders and residents. Insurance carriers and reinsurers use its unique data insights to underwrite risk more accurately, provide consumers a better purchasing experience through pre-filled forms and manage home inspections more cost-effectively.	187	600	2019-01-31	4	13	3	3	4	
	good	insurtech	17	96	0.92969894	LeaseLock	leaselock.com	LeaseLock is a rent guarantor that helps tenants sign leases without need for a co-signer.	211	620	2018-04-30	18	11.02000046	5	5	9	
	good	insurtech	20	81	0.96711487	Cover Genius	covergenius.biz	Cover Genius provides car rental, travel, package, white goods and consumer electronics insurance to ecommerce platforms.	101		2019-11-07	14	10	2	2	5	
	good	insurtech	22	14	9.8594265	REIN	rein.ai	REIN is an insurtech company creating products for the mobility, robotics and online ecosystems. REIN uses data, machine learning and modern tools to help companies bring new insurance products to market.	176	660	2019-12-17	4	7.300000191	4	4	10	
	good	insurtech	26	16	9.796723	Avinew	avinew.com	Avinew is an InsurTech company in auto insurance for autonomous and semi-autonomous vehicles.	120	450	2019-01-30	9	5	1	2	4	
	good	real estate tech	1	98	0.26490706	Compass	compass.com	Compass is a technology-driven real estate platform that aims to make the process of buying, selling and renting a home more intelligent. Compass offers a clear and easy way for property owners to list, market and sell properties, as well as follow through on the many pieces of complex transactional data that occur before and after the deal is made.	2443	890	2019-07-30	50	1513	9	29	17	
	good	real estate tech	2	31	0.6413151	OfferPad	offerpad.com	OfferPad uses data to change the way Americans buy and sell homes.	378	770	2019-03-14	38	975	6	6	2	
	good	real estate tech	3	47	0.52393764	Easyknock	easyknock.com	EasyKnock is a residential real estate technology company that seeks to help homeowners achieve financial freedom through an equity release program.	179	700	2019-07-17	5	319.7000122	6	6	10	
	good	real estate tech	4	43	0.5339787	VTS	vts.com	VTS is a commercial real estate asset management platform. Landlords use VTS to maximize portfolio performance by transforming their leasing and asset management process and unlocking real-time insights – enabling them to convert leads to leases 41% faster and build data-led strategies. Brokers can manage their deal pipeline and get tenants into empty spaces faster, collaborate across teams and work easily with their landlord clients using VTS for Brokers.	939	750	2019-05-07	9	177.1799927	8	11	15	
	good	real estate tech	5	90	0.31243485	Lyric	lyric.com	Lyric is a tech and data-powered real estate and lifestyle hospitality company that secures its own inventory in multi-family residential buildings through partnerships with landlords, refurbishes them, and transforms them into hotel-like properties for business travelers.	236	740	2019-04-17	17	175.5	3	3	14	
	good	real estate tech	6	36	0.6068254	HomeLight	homelight.com	HomeLight provides software and services to home buyers, sellers, and real estate agents including HomeLight Agent Matching, the investor matching platform Simple Sale, HomeLight Home Loans, and HomeLight Closing Services.	463	890	2019-11-05	36	169.1000061	9	10	16	
	good	real estate tech	7	76	0.3914437	ZeroDown	zerodown.com	ZeroDown provides a homeownership solution in the Bay Area. ZeroDown purchases homes for customers, then helps them work toward ownership with monthly payments determined by income.	108	710	2019-08-26	13	140.1499939	4	4	4	
	good	real estate tech	8	97	0.26490706	Reonomy	reonomy.com	Reonomy provides a platform that connects disparate property information, enabling applications that empower users to reach property-centric decisions. The platform leverages machine learning and the Reonomy ID—an identifier for every commercial asset that connects data on properties, companies, and people. Applications include predictive analytics, portfolio analysis, and market insights.	794	810	2019-11-07	42	128.1999969	8	8	18	
	bad	real estate tech	9	100	0.26490706	Breather	breather.com	Breather offers its members an on-demand network of private rooms designed for work and relaxation, each of which can be accessed by smartphone.	599	790	2018-06-12	40	113.6999969	6	6	13	
	good	real estate tech	10	71	0.40890744	Juniper Square	junipersquare.com	Juniper Square provides real estate investment managers with a software platform that streamlines fundraising, investment administration, and investor reporting.	161	810	2019-11-21	23	106	4	4	5	
	good	real estate tech	11	92	0.28671467	Rex	rexhomes.com	Rex is a fully licensed brokerage that has created a technology platform that replaces the conventional real estate model, effectively providing a digital alternative in the sale of a home.	79	770	2019-11-19	17	100	4	4	11	
	good	real estate tech	12	1	9.641315	Blueground	theblueground.com	Blueground is a real estate tech company offering beautifully furnished and thoughtfully equipped apartments for a month, a year, or even longer and are designed to help people simply show up and start living.	113	810	2019-10-23	45	77.20999908	5	5	6	
	good	real estate tech	14	89	0.32710665	Reali	reali.com	Reali is a real estate marketplace that matches buyers and sellers at a fair price by empowering users with modern tools and leveraging their mobile lifestyles.	139	660	2019-04-30	68	40	5	6	5	
	good	real estate tech	15	24	3	SmartRent	smartrent.com	Smartrent builds smart home software and hardware for the real estate and property management community. SmartRent's platform gives property managers full control of locks, lights and thermostats in vacant units and common areas while providing a best-in-class smart home experience for residents.	115	680	2019-10-02	27	38.5	4	4	7	
	good	real estate tech	19	68	0.414751	Bowery Valuation	boweryvaluation.com	Bowery Valuation provides cloud-based commercial appraisal writing software and mobile application, allowing appraisers to write full appraisal reports quickly and easily. Its backend database and natural language generator create increased efficiency, quality, and consistency firm-wide.	191	720	2019-10-07	7	26.79000092	6	6	13	
	good	real estate tech	21	60	0.4792393	Skyline AI	skyline.ai	Skyline AI is a real estate investment technology using artificial intelligence to outperform commercial real estate investment benchmarks.	261	660	2018-11-20	14	25	3	3	8	
	good	real estate tech	23	78	0.38623437	Homesnap	homesnap.com	Homesnap provides a mobile platform for agents and brokerages – available to agents in more than 125 MLSs representing over 800,000 agents. Its mobile real estate app is powered by a specialized homes database that combines MLS data, property tax records, census data, geographic boundaries, etc. Homesnap is also the brand of the Broker Public Portal, a collaborative venture between real estate brokerages and MLSs to create a national consumer home search portal that provides consumers with direct access to property information while adhering to fair display guidelines.	136	710	2018-02-13	37	21.5	4	4	4	
	good	real estate tech	26	49	0.51464695	Knock	knockcrm.com	Knock is a platform that maximizes the marketing and sales performance of apartment buildings through CRM and communications technology.	62	660	2019-03-07	17	14.77000046	5	5	1	
	good	facial recognition	2	68	9	Orbbec Technology	orbbec.com.cn	Orbbec Technology focuses on the designing, manufacturing and sales of 3D sensors, which enable functions including facial recognition, gesture recognition, human skeleton recognition, 3D measurement, 3D map reconstruction in products such as smartphones, robots and smart homes. In addition, the company offers the Orbbec Astra family of 3D cameras and Orbbec Persee 3D camera with a built-in, fully functioning computer.	83	730	2018-05-21		200	2	5	6	
	good	facial recognition	19	2	10.20826	D-ID	deidentification.co	D-ID uses face recognition technology to process a user's photo and creates a protected image that looks similar to the naked eye, developed to protect their photo from unauthorized, automated facial recognition.	151	660	2018-10-25	12	4.119999886	3	3	6	
	bad	wearables	4	17	9.5525255	Vedant Fashions	manyavar.com	Vedant Fashions is the owner of the ethnic wear brand Manyavar.	2		2017-08-31	5	62.50999832	1	2	1	
	good	robotics	6	33	15.507056	GreyOrange Robotics	greyorange.com	GreyOrange is a multinational technology company that designs, manufactures and deploys robotics systems for supply chain automation in distribution and fulfillment centers.	613		2018-09-06	29	179	5	6	11	
	good	proptech	1	5	9.907696	Nested	nested.com	Nested is a London-based proptech company that provides home sellers with an advanced loan of their property's value before they sell their house, so that they can purchase a new one without having to enter into a chain.	247	690	2018-11-12	27	213.9700012	6	6	8	
	good	proptech	4	96	0.94268996	Trussle	trussle.com	Trussle is an online mortgage broker that helps first-time buyers and existing homeowners save time and money securing a great-value mortgage online.	354	670	2018-05-09	40	25.90999985	5	5	10	
	good	proptech	5	80	0.97994274	SquareFoot	squarefoot.com	SquareFoot provides an online platform for commercial real estate leasing that connects prospective tenants with landlords, brokers, and other service and product providers.	258	800	2019-11-06	17	25.12000084	4	5	10	
	good	proptech	21	86	0.96419126	REalyse	realyse.com	REalyse is a technology company that helps UK residential property managers stay ahead of the market by providing companies with smart technology, real estate knowledge, and independently sourced data – house prices, rents, yields, demographics, market activity, economics, debt and more.	107	570	2019-01-22	3	4.519999981	3	3	5	
	good	proptech	25	45	3	Propstack	propstack.com	Propstack is a commercial real estate information provider in India. Propstack conducts ongoing research to produce and maintain a database of commercial real estate information. The company's suite of online services enables clients to analyze, interpret, and gain insight on commercial property values, market conditions, and current availabilities.	75	470	2019-05-28	15	3.099999905	4	4	8	
	good	proptech	27	66	1.0331637	ohmyhome	omh.sg	Ohmyhome connects home searchers to home owners for free. Ohmyhome is a real estate platform and a CEA licensed real estate agency which lets users buy, sell or rent HDB flats on their own.	6	620	2018-09-20	17	2.930000067	1	1	2	
	good	proptech	69	13	9	Unissu	unissu.com	Unissu is a PropTech marketplace that allows users to access information about how technology is changing the property industry so you can choose suitable solutions for your business.		410	2019-03-22		0.01999999955	1	1	1	
	good	proptech	29	21	9	No Agent	noagent.co.uk	No Agent is a PropTech platform that empowers landlords to control the rental lifecycle, on their terms.	48	430	2018-03-02	3	2.410000086	3	3	2	
	good	proptech	98	24	9	Zeehaus	zeehaus.com	Zeehaus is an equity sharing marketplace and property ownership management platform. It's a Proptech platform offering fractional real estate investment and lowers monthly housing costs.	8				0		0	0	
